2022-12-20 17:21:54 INFO  ComputerPage :33 - Get page title text : [[ChromeDriver: chrome on WINDOWS (ce15086b415726ce587bf461855eefad)] -> css selector: div[class='page-title'] h1]
2022-12-20 17:21:57 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 17:21:58 INFO  ComputerPage :40 - Click on sub menu : [[[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 17:21:58 INFO  DesktopsPage :58 - Select product : [[[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-20 17:21:59 INFO  BuildYourOwnComputerPage :63 - Select processor: [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> id: product_attribute_1]
2022-12-20 17:21:59 INFO  BuildYourOwnComputerPage :68 - Select ram : [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> id: product_attribute_2]
2022-12-20 17:21:59 INFO  BuildYourOwnComputerPage :75 - Select hdd : [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]
2022-12-20 17:21:59 INFO  BuildYourOwnComputerPage :85 - Select OS : [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]
2022-12-20 17:21:59 INFO  BuildYourOwnComputerPage :95 - Select software : [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]
2022-12-20 17:21:59 INFO  BuildYourOwnComputerPage :103 - Click on add to cart button : [[ChromeDriver: chrome on WINDOWS (570769620f65c8467ffe8c6e8070becc)] -> xpath: //button[@id='add-to-cart-button-1']]
